model,feature,importance
LightGBM,compound_mean,12.0
LightGBM,compound_std,109.0
LightGBM,positive_mean,30.0
LightGBM,negative_mean,27.0
LightGBM,neutral_mean,95.0
LightGBM,total_tweets,67.0
LightGBM,engagement_score_sum,91.0
LightGBM,sentiment_positive_ratio,2.0
LightGBM,sentiment_negative_ratio,4.0
LightGBM,sentiment_neutral_ratio,55.0
LightGBM,sentiment_volatility,47.0
LightGBM,weighted_sentiment,38.0
LightGBM,sentiment_ma_7,34.0
LightGBM,sentiment_ma_14,24.0
LightGBM,sentiment_momentum,40.0
LightGBM,Close,44.0
LightGBM,High,32.0
LightGBM,Low,8.0
LightGBM,Open,31.0
LightGBM,Volume,59.0
LightGBM,btc_return,96.0
LightGBM,price_ma_7,9.0
LightGBM,price_ma_21,28.0
LightGBM,volatility,96.0
LightGBM,sentiment_change,50.0
LightGBM,sentiment_momentum_3d,89.0
LightGBM,sentiment_momentum_7d,57.0
LightGBM,sentiment_momentum_14d,86.0
LightGBM,sentiment_volatility_lag_1d,96.0
LightGBM,sentiment_volatility_lag_3d,70.0
LightGBM,sentiment_volatility_lag_7d,108.0
LightGBM,sentiment_ma_3d,13.0
LightGBM,sentiment_ratio_3d,62.0
LightGBM,sentiment_std_3d,51.0
LightGBM,sentiment_ma_7d,13.0
LightGBM,sentiment_ratio_7d,32.0
LightGBM,sentiment_std_7d,69.0
LightGBM,sentiment_ma_14d,4.0
LightGBM,sentiment_ratio_14d,43.0
LightGBM,sentiment_std_14d,49.0
LightGBM,sentiment_ma_21d,34.0
LightGBM,sentiment_ratio_21d,25.0
LightGBM,sentiment_std_21d,84.0
LightGBM,sentiment_z_score_7d,36.0
LightGBM,sentiment_percentile_14d,10.0
LightGBM,volume_weighted_sentiment,16.0
LightGBM,engagement_per_tweet,44.0
LightGBM,engagement_sentiment_ratio,42.0
LightGBM,sentiment_polarity_strength,0.0
LightGBM,sentiment_uncertainty,73.0
LightGBM,sentiment_conviction,43.0
LightGBM,compound_mean_lag_1d,46.0
LightGBM,sentiment_positive_ratio_lag_1d,6.0
LightGBM,weighted_sentiment_lag_1d,21.0
LightGBM,compound_mean_lag_2d,56.0
LightGBM,sentiment_positive_ratio_lag_2d,4.0
LightGBM,weighted_sentiment_lag_2d,42.0
LightGBM,compound_mean_lag_3d,46.0
LightGBM,sentiment_positive_ratio_lag_3d,7.0
LightGBM,weighted_sentiment_lag_3d,15.0
LightGBM,compound_mean_lag_7d,34.0
LightGBM,sentiment_positive_ratio_lag_7d,14.0
LightGBM,weighted_sentiment_lag_7d,55.0
LightGBM,sentiment_change_1d,9.0
LightGBM,sentiment_change_3d,38.0
LightGBM,sentiment_acceleration,67.0
LightGBM,sentiment_regime_bull,4.0
LightGBM,sentiment_regime_bear,3.0
LightGBM,sentiment_return_interaction,84.0
LightGBM,sentiment_volatility_interaction,53.0
LightGBM,price_sentiment_divergence,5.0
LightGBM,sentiment_rsi,70.0
LightGBM,sentiment_bb_upper,44.0
LightGBM,sentiment_bb_lower,38.0
LightGBM,sentiment_bb_position,26.0
LightGBM,sentiment_trend_strength,76.0
XGBoost,compound_mean,0.01211513765156269
XGBoost,compound_std,0.013542172499001026
XGBoost,positive_mean,0.013663556426763535
XGBoost,negative_mean,0.013635518029332161
XGBoost,neutral_mean,0.013030367903411388
XGBoost,total_tweets,0.014170992188155651
XGBoost,engagement_score_sum,0.014539221301674843
XGBoost,sentiment_positive_ratio,0.020551126450300217
XGBoost,sentiment_negative_ratio,0.012377689592540264
XGBoost,sentiment_neutral_ratio,0.013697649352252483
XGBoost,sentiment_volatility,0.01271093264222145
XGBoost,weighted_sentiment,0.01592603698372841
XGBoost,sentiment_ma_7,0.014562677592039108
XGBoost,sentiment_ma_14,0.012881467118859291
XGBoost,sentiment_momentum,0.014591523446142673
XGBoost,Close,0.01371943112462759
XGBoost,High,0.013305971398949623
XGBoost,Low,0.01641692779958248
XGBoost,Open,0.015145193785429
XGBoost,Volume,0.012419352307915688
XGBoost,btc_return,0.0156725887209177
XGBoost,price_ma_7,0.013602718710899353
XGBoost,price_ma_21,0.012662459164857864
XGBoost,volatility,0.013116137124598026
XGBoost,sentiment_change,0.013104005716741085
XGBoost,sentiment_momentum_3d,0.014373185113072395
XGBoost,sentiment_momentum_7d,0.012380313128232956
XGBoost,sentiment_momentum_14d,0.013548208400607109
XGBoost,sentiment_volatility_lag_1d,0.014519313350319862
XGBoost,sentiment_volatility_lag_3d,0.013117235153913498
XGBoost,sentiment_volatility_lag_7d,0.013188906013965607
XGBoost,sentiment_ma_3d,0.01273838710039854
XGBoost,sentiment_ratio_3d,0.013094300404191017
XGBoost,sentiment_std_3d,0.011933231726288795
XGBoost,sentiment_ma_7d,0.012934626080095768
XGBoost,sentiment_ratio_7d,0.013152196072041988
XGBoost,sentiment_std_7d,0.013824828900396824
XGBoost,sentiment_ma_14d,0.014131666161119938
XGBoost,sentiment_ratio_14d,0.011807606555521488
XGBoost,sentiment_std_14d,0.01177123561501503
XGBoost,sentiment_ma_21d,0.01323008444160223
XGBoost,sentiment_ratio_21d,0.011914599686861038
XGBoost,sentiment_std_21d,0.012065348215401173
XGBoost,sentiment_z_score_7d,0.014177749864757061
XGBoost,sentiment_percentile_14d,0.016951244324445724
XGBoost,volume_weighted_sentiment,0.01264386810362339
XGBoost,engagement_per_tweet,0.012430406175553799
XGBoost,engagement_sentiment_ratio,0.011828567832708359
XGBoost,sentiment_polarity_strength,0.0
XGBoost,sentiment_uncertainty,0.013852749019861221
XGBoost,sentiment_conviction,0.013190072029829025
XGBoost,compound_mean_lag_1d,0.013976674526929855
XGBoost,sentiment_positive_ratio_lag_1d,0.010279874317348003
XGBoost,weighted_sentiment_lag_1d,0.014762923121452332
XGBoost,compound_mean_lag_2d,0.013191673904657364
XGBoost,sentiment_positive_ratio_lag_2d,0.014102313667535782
XGBoost,weighted_sentiment_lag_2d,0.013844218105077744
XGBoost,compound_mean_lag_3d,0.013513746671378613
XGBoost,sentiment_positive_ratio_lag_3d,0.015292296186089516
XGBoost,weighted_sentiment_lag_3d,0.012353026308119297
XGBoost,compound_mean_lag_7d,0.011970745399594307
XGBoost,sentiment_positive_ratio_lag_7d,0.010031647980213165
XGBoost,weighted_sentiment_lag_7d,0.015452492982149124
XGBoost,sentiment_change_1d,0.012417696416378021
XGBoost,sentiment_change_3d,0.014009533450007439
XGBoost,sentiment_acceleration,0.012416875921189785
XGBoost,sentiment_regime_bull,0.013569178059697151
XGBoost,sentiment_regime_bear,0.0047347042709589005
XGBoost,sentiment_return_interaction,0.014024683274328709
XGBoost,sentiment_volatility_interaction,0.013422291725873947
XGBoost,price_sentiment_divergence,0.006849274970591068
XGBoost,sentiment_rsi,0.013725376687943935
XGBoost,sentiment_bb_upper,0.014624625444412231
XGBoost,sentiment_bb_lower,0.015927786007523537
XGBoost,sentiment_bb_position,0.012057642452418804
XGBoost,sentiment_trend_strength,0.013487918302416801
RandomForest,compound_mean,0.009709848013274238
RandomForest,compound_std,0.01727122697319109
RandomForest,positive_mean,0.010774608255209907
RandomForest,negative_mean,0.008270826988271304
RandomForest,neutral_mean,0.017950766364791926
RandomForest,total_tweets,0.015369067412249051
RandomForest,engagement_score_sum,0.02167571872766951
RandomForest,sentiment_positive_ratio,0.008793463477232321
RandomForest,sentiment_negative_ratio,0.009507352661540418
RandomForest,sentiment_neutral_ratio,0.016753513289796785
RandomForest,sentiment_volatility,0.014906675075209621
RandomForest,weighted_sentiment,0.009961173640017314
RandomForest,sentiment_ma_7,0.008735291161387214
RandomForest,sentiment_ma_14,0.010437590152874559
RandomForest,sentiment_momentum,0.013849589181397186
RandomForest,Close,0.01267320454327756
RandomForest,High,0.012745987814335273
RandomForest,Low,0.011330271563474341
RandomForest,Open,0.012442221160314742
RandomForest,Volume,0.013952938466484412
RandomForest,btc_return,0.02054231503307276
RandomForest,price_ma_7,0.011834303178369622
RandomForest,price_ma_21,0.010524168304629069
RandomForest,volatility,0.0153842586113209
RandomForest,sentiment_change,0.011879806266565578
RandomForest,sentiment_momentum_3d,0.017156170762649605
RandomForest,sentiment_momentum_7d,0.013502055600071729
RandomForest,sentiment_momentum_14d,0.01863552077035887
RandomForest,sentiment_volatility_lag_1d,0.018586375204254265
RandomForest,sentiment_volatility_lag_3d,0.015211132813849426
RandomForest,sentiment_volatility_lag_7d,0.01861692585434723
RandomForest,sentiment_ma_3d,0.011217630644083255
RandomForest,sentiment_ratio_3d,0.017658200422643055
RandomForest,sentiment_std_3d,0.013689645661498233
RandomForest,sentiment_ma_7d,0.013329363695760786
RandomForest,sentiment_ratio_7d,0.012599227985137629
RandomForest,sentiment_std_7d,0.017553029882196182
RandomForest,sentiment_ma_14d,0.009785959165881153
RandomForest,sentiment_ratio_14d,0.01078061327957085
RandomForest,sentiment_std_14d,0.01502589769784509
RandomForest,sentiment_ma_21d,0.009870621945662227
RandomForest,sentiment_ratio_21d,0.01167017606942977
RandomForest,sentiment_std_21d,0.01771656673800674
RandomForest,sentiment_z_score_7d,0.013066162877664983
RandomForest,sentiment_percentile_14d,0.006028744494911385
RandomForest,volume_weighted_sentiment,0.007959279311032996
RandomForest,engagement_per_tweet,0.01471720211668673
RandomForest,engagement_sentiment_ratio,0.015145553368727036
RandomForest,sentiment_polarity_strength,0.009170002451950042
RandomForest,sentiment_uncertainty,0.015543314057904994
RandomForest,sentiment_conviction,0.016300778439004543
RandomForest,compound_mean_lag_1d,0.014596492171301519
RandomForest,sentiment_positive_ratio_lag_1d,0.012058426450649338
RandomForest,weighted_sentiment_lag_1d,0.010921118706382755
RandomForest,compound_mean_lag_2d,0.013434530864554284
RandomForest,sentiment_positive_ratio_lag_2d,0.013545872986350703
RandomForest,weighted_sentiment_lag_2d,0.015113089586455963
RandomForest,compound_mean_lag_3d,0.013295163957847064
RandomForest,sentiment_positive_ratio_lag_3d,0.013493006194738675
RandomForest,weighted_sentiment_lag_3d,0.013109851575932942
RandomForest,compound_mean_lag_7d,0.01167716560429465
RandomForest,sentiment_positive_ratio_lag_7d,0.012308209760467502
RandomForest,weighted_sentiment_lag_7d,0.01382808287043555
RandomForest,sentiment_change_1d,0.012355708927382487
RandomForest,sentiment_change_3d,0.01592163121523626
RandomForest,sentiment_acceleration,0.01375676478592147
RandomForest,sentiment_regime_bull,0.0015876700869444746
RandomForest,sentiment_regime_bear,0.0012933136874545815
RandomForest,sentiment_return_interaction,0.01898822445927069
RandomForest,sentiment_volatility_interaction,0.013250210697798153
RandomForest,price_sentiment_divergence,0.0035518502536350106
RandomForest,sentiment_rsi,0.015416895517199913
RandomForest,sentiment_bb_upper,0.012786799965740232
RandomForest,sentiment_bb_lower,0.013738651114752079
RandomForest,sentiment_bb_position,0.01219969159605152
RandomForest,sentiment_trend_strength,0.019959239336116746
LogisticRegression,compound_mean,0.021729888976180046
LogisticRegression,compound_std,0.08082675098937306
LogisticRegression,positive_mean,0.08699878621579164
LogisticRegression,negative_mean,0.13690497803995125
LogisticRegression,neutral_mean,0.06116128978785464
LogisticRegression,total_tweets,0.1434649665396849
LogisticRegression,engagement_score_sum,0.1817793583826338
LogisticRegression,sentiment_positive_ratio,0.32019708081965037
LogisticRegression,sentiment_negative_ratio,0.15816592756871412
LogisticRegression,sentiment_neutral_ratio,0.3108375568001604
LogisticRegression,sentiment_volatility,0.0021400912499229736
LogisticRegression,weighted_sentiment,0.5266189800417342
LogisticRegression,sentiment_ma_7,0.15477078656197954
LogisticRegression,sentiment_ma_14,0.628082915548901
LogisticRegression,sentiment_momentum,0.26081653000839106
LogisticRegression,Close,0.03442806110820406
LogisticRegression,High,0.02904347696256103
LogisticRegression,Low,0.3869249967269697
LogisticRegression,Open,0.06178481311663459
LogisticRegression,Volume,0.0202347998920408
LogisticRegression,btc_return,0.03698256077163502
LogisticRegression,price_ma_7,0.009316520560937496
LogisticRegression,price_ma_21,0.03256648424631242
LogisticRegression,volatility,0.49043971096359895
LogisticRegression,sentiment_change,0.27612083902194806
LogisticRegression,sentiment_momentum_3d,0.02651933022945574
LogisticRegression,sentiment_momentum_7d,0.19301353318868983
LogisticRegression,sentiment_momentum_14d,0.0706228472243314
LogisticRegression,sentiment_volatility_lag_1d,0.10580737241936264
LogisticRegression,sentiment_volatility_lag_3d,0.03949867027148447
LogisticRegression,sentiment_volatility_lag_7d,0.0215197677929423
LogisticRegression,sentiment_ma_3d,0.10940436245325183
LogisticRegression,sentiment_ratio_3d,0.0028836752971110506
LogisticRegression,sentiment_std_3d,0.022499625938585056
LogisticRegression,sentiment_ma_7d,0.15477078656197954
LogisticRegression,sentiment_ratio_7d,0.016771852838204537
LogisticRegression,sentiment_std_7d,0.07639414788177865
LogisticRegression,sentiment_ma_14d,0.62808291554888
LogisticRegression,sentiment_ratio_14d,0.005137152471101371
LogisticRegression,sentiment_std_14d,0.10965493626869445
LogisticRegression,sentiment_ma_21d,0.5265380707996783
LogisticRegression,sentiment_ratio_21d,0.003070654992194681
LogisticRegression,sentiment_std_21d,0.21253274120254292
LogisticRegression,sentiment_z_score_7d,0.4700779548848776
LogisticRegression,sentiment_percentile_14d,0.26743399987867583
LogisticRegression,volume_weighted_sentiment,0.2640392791494629
LogisticRegression,engagement_per_tweet,0.0628183845883013
LogisticRegression,engagement_sentiment_ratio,0.05477943102110624
LogisticRegression,sentiment_polarity_strength,0.0810155766254712
LogisticRegression,sentiment_uncertainty,0.022142002091245786
LogisticRegression,sentiment_conviction,0.2831388777402562
LogisticRegression,compound_mean_lag_1d,0.2819292452846877
LogisticRegression,sentiment_positive_ratio_lag_1d,0.25566992074305933
LogisticRegression,weighted_sentiment_lag_1d,1.3727887953874292
LogisticRegression,compound_mean_lag_2d,0.0029311295215996734
LogisticRegression,sentiment_positive_ratio_lag_2d,0.33154935604657015
LogisticRegression,weighted_sentiment_lag_2d,0.6719318664178796
LogisticRegression,compound_mean_lag_3d,0.3427860223769668
LogisticRegression,sentiment_positive_ratio_lag_3d,0.1778216274332692
LogisticRegression,weighted_sentiment_lag_3d,0.32105123552683923
LogisticRegression,compound_mean_lag_7d,0.16534064056792
LogisticRegression,sentiment_positive_ratio_lag_7d,0.023533916939560147
LogisticRegression,weighted_sentiment_lag_7d,0.20375921641210737
LogisticRegression,sentiment_change_1d,0.27612083902194806
LogisticRegression,sentiment_change_3d,0.338677083865895
LogisticRegression,sentiment_acceleration,0.3254414280136005
LogisticRegression,sentiment_regime_bull,0.09451553056088537
LogisticRegression,sentiment_regime_bear,0.09451553056088537
LogisticRegression,sentiment_return_interaction,0.0126300907615196
LogisticRegression,sentiment_volatility_interaction,0.2728370617172228
LogisticRegression,price_sentiment_divergence,0.24462935922770493
LogisticRegression,sentiment_rsi,0.0421273013324168
LogisticRegression,sentiment_bb_upper,0.12328814074618123
LogisticRegression,sentiment_bb_lower,1.2245815604917971
LogisticRegression,sentiment_bb_position,0.14149731124349424
LogisticRegression,sentiment_trend_strength,0.00022701218111256482
